term	POS	sentiment
"a"	"det"	0.0
"a.d."	"adv"	0.0
"a.k.a."	"adv"	0.0
"a.m."	"adj"	0.0
"a.m."	"adv"	0.0
"aardvark"	"n"	0.0
"abaci"	"n"	0.0
"aback"	"adv"	-1.0
"abacus"	"n"	0.0
"abaft"	"adv"	0.0
"abalone"	"n"	0.0
"abandon"	"v"	-1.0
"abandoned"	"adj"	-2.0
"abandonment"	"n"	-2.0
"abase"	"v"	-1.0
"abasement"	"n"	-1.0
"abash"	"v"	0.0
"abashed"	"adj"	0.0
"abate"	"v"	0.0
"abatement"	"n"	0.0
"abattoir"	"n"	0.0
"abbess"	"n"	0.0
"abbey"	"n"	0.0
"abbot"	"n"	0.0
"abbr."	"n"	0.0
"abbreviate"	"v"	0.0
"abbreviation"	"n"	0.0
"abdicate"	"v"	0.0
"abdication"	"n"	-1.0
"abdomen"	"n"	0.0
"abdominal"	"adj"	0.0
"abduct"	"v"	-2.0
"abduction"	"n"	-2.0
"abductor"	"n"	-2.0
"abeam"	"adv"	0.0
"abed"	"adv"	0.0
"aberrant"	"adj"	-1.0
"aberration"	"n"	-1.0
"abet"	"v"	-1.0
"abeyance"	"n"	0.0
"abhor"	"v"	-3.0
"abhorrence"	"n"	-2.0
"abhorrent"	"adj"	-3.0
"abide"	"v"	0.0
"abiding"	"adj"	2.0
"ability"	"n"	1.0
"abject"	"adj"	-2.0
"abjectly"	"adv"	-2.0
"abjure"	"v"	0.0
"ablaze"	"adj"	0.0
"able"	"adj"	2.0
"able-bodied"	"adj"	2.0
"ably"	"adv"	1.0
"abnegation"	"n"	-2.0
"abnormal"	"adj"	-1.0
"abnormality"	"n"	-1.0
"abnormally"	"adv"	-1.0
"aboard"	"adv"	0.0
"abode"	"n"	0.0
"abolish"	"v"	0.0
"abolition"	"n"	-1.0
"abolitionist"	"n"	0.0
"abominable"	"adj"	-2.0
"abominably"	"adv"	-2.0
"abominate"	"v"	-3.0
"abomination"	"n"	-3.0
"aboriginal"	"adj"	0.0
"aborigine"	"n"	0.0
"abort"	"v"	0.0
"abortion"	"n"	-1.0
"abortionist"	"n"	0.0
"abortive"	"adj"	-1.0
"abound"	"v"	1.0
"about"	"adj"	0.0
"about"	"adv"	0.0
"about-face"	"v"	0.0
"above"	"adj"	1.0
"above"	"adv"	0.0
"aboveboard"	"adj"	2.0
"aboveboard"	"adv"	1.0
"abracadabra"	"n"	0.0
"abrade"	"v"	0.0
"abrasion"	"n"	-1.0
"abrasive"	"adj"	-2.0
"abrasively"	"adv"	-1.0
"abreast"	"adj"	0.0
"abreast"	"adv"	0.0
